================================================================================================================================================================================
  TNR L4 ELEMENT READABLE REPORT
  Columns: registry fraction, node meaning, IE prediction, and family-level screening context
================================================================================================================================================================================
  Z    El  Sub  Pos    N/D      Node                       IE_DOT     IE_exp     Err%  Fam closure              Nearest                 Status
  97   Bk  5f   9/14   67/49    Li-carrier (67/56)         6.1979     6.1980   0.001%     0.968189       26/27 = 1-γ²/2    representative lock
  98   Cf  5f   10/14  67/48    Li-carrier (67/56)         6.3271     6.2820   0.717%     0.968189       26/27 = 1-γ²/2    representative lock
  99   Es  5f   11/14  55/39    Deep Boundary              6.3924     6.4200   0.429%     0.968189       26/27 = 1-γ²/2    representative lock
  100  Fm  5f   12/14  23/16    Halogen Edge               6.5159     6.5000   0.245%     0.968189       26/27 = 1-γ²/2    representative lock
  101  Md  5f   13/14  16/11    Nitrogen Core              6.5932     6.5800   0.200%     0.968189       26/27 = 1-γ²/2    representative lock
  102  No  5f   14/14  38/26    Closed Shell               6.6249     6.6500   0.378%     0.968189       26/27 = 1-γ²/2    representative lock
  103  Lr  6d   1/10   23/21    Halogen Edge               4.9645     4.9600   0.091%     0.781610                  2/3     period-depth drift
  104  Rf  6d   2/10   16/12    Nitrogen Core              6.0438     6.0100   0.562%     0.781610                  2/3     period-depth drift
  105  Db  6d   3/10   38/25    Closed Shell               6.8899     6.8900   0.002%     0.781610                  2/3     period-depth drift
  106  Sg  6d   4/10   11/7     Boron Bridge               7.1230     7.1000   0.324%     0.781610                  2/3     period-depth drift
  107  Bh  6d   5/10   67/39    Li-carrier (67/56)         7.7871     7.7000   1.132%     0.781610                  2/3     period-depth drift
  108  Hs  6d   6/10   67/40    Li-carrier (67/56)         7.5925     7.6000   0.099%     0.781610                  2/3     period-depth drift
  109  Mt  6d   7/10   55/29    Deep Boundary              8.5967     8.6000   0.038%     0.781610                  2/3     period-depth drift
  110  Ds  6d   8/10   11/5     Boron Bridge               9.9722     9.9000   0.729%     0.781610                  2/3     period-depth drift
  111  Rg  6d   9/10   67/29    Li-carrier (67/56)        10.4724    10.6000   1.204%     0.781610                  2/3     period-depth drift
  112  Cn  6d   10/10  13/5     Lithium Edge              11.7853    11.8000   0.124%     0.781610                  2/3     period-depth drift
  113  Nh  7p   1/6    55/34    Deep Boundary              7.3325     7.3060   0.363%     0.892684       26/27 = 1-γ²/2     period-depth drift
  114  Fl  7p   2/6    15/8     Carbon Dual                8.4990     8.5400   0.480%     0.892684       26/27 = 1-γ²/2     period-depth drift
  115  Mc  7p   3/6    16/13    Nitrogen Core              5.5788     5.5790   0.003%     0.892684       26/27 = 1-γ²/2     period-depth drift
  116  Lv  7p   4/6    67/43    Li-carrier (67/56)         7.0628     7.0100   0.753%     0.892684       26/27 = 1-γ²/2     period-depth drift
  117  Ts  7p   5/6    67/39    Li-carrier (67/56)         7.7871     7.7000   1.132%     0.892684       26/27 = 1-γ²/2     period-depth drift
  118  Og  7p   6/6    55/28    Deep Boundary              8.9037     8.9140   0.115%     0.892684       26/27 = 1-γ²/2     period-depth drift
